"Grid","Lon","Lat","siteid"
"0026/0048",-84.04,39.29,"39.29|-84.04"
"0026/0048",-84.04,39.38,"39.38|-84.04"
"0026/0048",-84.04,39.46,"39.46|-84.04"
"0026/0048",-84.04,39.54,"39.54|-84.04"
"0026/0048",-84.04,39.62,"39.62|-84.04"
"0026/0048",-84.04,39.71,"39.71|-84.04"
"0026/0048",-84.04,39.79,"39.79|-84.04"
"0026/0048",-84.04,39.88,"39.88|-84.04"
"0026/0048",-84.04,39.96,"39.96|-84.04"
"0025/0048",-84.04,40.04,"40.04|-84.04"
"0025/0048",-84.04,40.12,"40.12|-84.04"
"0025/0048",-84.04,40.21,"40.21|-84.04"
"0025/0048",-84.04,40.29,"40.29|-84.04"
"0025/0048",-84.04,40.38,"40.38|-84.04"
"0025/0048",-84.04,40.46,"40.46|-84.04"
"0025/0048",-84.04,40.54,"40.54|-84.04"
"0025/0048",-84.04,40.62,"40.62|-84.04"
"0025/0048",-84.04,40.71,"40.71|-84.04"
"0025/0048",-84.04,40.79,"40.79|-84.04"
"0025/0048",-84.04,40.88,"40.88|-84.04"
"0025/0048",-84.04,40.96,"40.96|-84.04"
"0025/0048",-84.04,41.04,"41.04|-84.04"
"0025/0048",-84.04,41.12,"41.12|-84.04"
"0025/0048",-84.04,41.21,"41.21|-84.04"
"0025/0048",-84.04,41.29,"41.29|-84.04"
"0025/0048",-84.04,41.38,"41.38|-84.04"
"0025/0048",-84.04,41.46,"41.46|-84.04"
"0025/0048",-84.04,41.54,"41.54|-84.04"
"0025/0048",-84.04,41.62,"41.62|-84.04"
"0025/0048",-84.04,41.71,"41.71|-84.04"
"0025/0048",-84.04,41.79,"41.79|-84.04"
"0025/0048",-84.04,41.88,"41.88|-84.04"
"0025/0048",-84.04,41.96,"41.96|-84.04"
"0024/0048",-84.04,42.04,"42.04|-84.04"
"0024/0048",-84.04,42.12,"42.12|-84.04"
"0024/0048",-84.04,42.21,"42.21|-84.04"
"0024/0048",-84.04,42.29,"42.29|-84.04"
"0024/0048",-84.04,42.38,"42.38|-84.04"
"0024/0048",-84.04,42.46,"42.46|-84.04"
"0024/0048",-84.04,42.54,"42.54|-84.04"
"0024/0048",-84.04,42.62,"42.62|-84.04"
"0024/0048",-84.04,42.71,"42.71|-84.04"
"0024/0048",-84.04,42.79,"42.79|-84.04"
"0026/0048",-84.12,39.29,"39.29|-84.12"
"0026/0048",-84.12,39.38,"39.38|-84.12"
"0026/0048",-84.12,39.46,"39.46|-84.12"
"0026/0048",-84.12,39.54,"39.54|-84.12"
"0026/0048",-84.12,39.62,"39.62|-84.12"
"0026/0048",-84.12,39.79,"39.79|-84.12"
"0026/0048",-84.12,39.88,"39.88|-84.12"
"0026/0048",-84.12,39.96,"39.96|-84.12"
"0025/0048",-84.12,40.04,"40.04|-84.12"
"0025/0048",-84.12,40.12,"40.12|-84.12"
"0025/0048",-84.12,40.21,"40.21|-84.12"
"0025/0048",-84.12,40.29,"40.29|-84.12"
"0025/0048",-84.12,40.38,"40.38|-84.12"
"0025/0048",-84.12,40.46,"40.46|-84.12"
"0025/0048",-84.12,40.54,"40.54|-84.12"
"0025/0048",-84.12,40.62,"40.62|-84.12"
"0025/0048",-84.12,40.71,"40.71|-84.12"
"0025/0048",-84.12,40.79,"40.79|-84.12"
"0025/0048",-84.12,40.88,"40.88|-84.12"
"0025/0048",-84.12,40.96,"40.96|-84.12"
"0025/0048",-84.12,41.04,"41.04|-84.12"
"0025/0048",-84.12,41.12,"41.12|-84.12"
"0025/0048",-84.12,41.21,"41.21|-84.12"
"0025/0048",-84.12,41.29,"41.29|-84.12"
"0025/0048",-84.12,41.38,"41.38|-84.12"
"0025/0048",-84.12,41.46,"41.46|-84.12"
"0025/0048",-84.12,41.54,"41.54|-84.12"
"0025/0048",-84.12,41.62,"41.62|-84.12"
"0025/0048",-84.12,41.71,"41.71|-84.12"
"0025/0048",-84.12,41.79,"41.79|-84.12"
"0025/0048",-84.12,41.88,"41.88|-84.12"
"0025/0048",-84.12,41.96,"41.96|-84.12"
"0024/0048",-84.12,42.04,"42.04|-84.12"
"0024/0048",-84.12,42.12,"42.12|-84.12"
"0024/0048",-84.12,42.21,"42.21|-84.12"
"0024/0048",-84.12,42.29,"42.29|-84.12"
"0024/0048",-84.12,42.38,"42.38|-84.12"
"0024/0048",-84.12,42.46,"42.46|-84.12"
"0024/0048",-84.12,42.54,"42.54|-84.12"
"0024/0048",-84.12,42.62,"42.62|-84.12"
"0024/0048",-84.12,42.71,"42.71|-84.12"
"0024/0048",-84.12,42.79,"42.79|-84.12"
"0026/0048",-84.21,39.29,"39.29|-84.21"
"0026/0048",-84.21,39.38,"39.38|-84.21"
"0026/0048",-84.21,39.46,"39.46|-84.21"
"0026/0048",-84.21,39.54,"39.54|-84.21"
"0026/0048",-84.21,39.62,"39.62|-84.21"
"0026/0048",-84.21,39.88,"39.88|-84.21"
"0026/0048",-84.21,39.96,"39.96|-84.21"
"0025/0048",-84.21,40.04,"40.04|-84.21"
"0025/0048",-84.21,40.12,"40.12|-84.21"
"0025/0048",-84.21,40.21,"40.21|-84.21"
"0025/0048",-84.21,40.29,"40.29|-84.21"
"0025/0048",-84.21,40.38,"40.38|-84.21"
"0025/0048",-84.21,40.46,"40.46|-84.21"
"0025/0048",-84.21,40.54,"40.54|-84.21"
"0025/0048",-84.21,40.62,"40.62|-84.21"
"0025/0048",-84.21,40.71,"40.71|-84.21"
"0025/0048",-84.21,40.79,"40.79|-84.21"
"0025/0048",-84.21,40.88,"40.88|-84.21"
"0025/0048",-84.21,40.96,"40.96|-84.21"
"0025/0048",-84.21,41.04,"41.04|-84.21"
"0025/0048",-84.21,41.12,"41.12|-84.21"
"0025/0048",-84.21,41.21,"41.21|-84.21"
"0025/0048",-84.21,41.29,"41.29|-84.21"
"0025/0048",-84.21,41.38,"41.38|-84.21"
"0025/0048",-84.21,41.46,"41.46|-84.21"
"0025/0048",-84.21,41.54,"41.54|-84.21"
"0025/0048",-84.21,41.62,"41.62|-84.21"
"0025/0048",-84.21,41.71,"41.71|-84.21"
"0025/0048",-84.21,41.79,"41.79|-84.21"
"0025/0048",-84.21,41.88,"41.88|-84.21"
"0025/0048",-84.21,41.96,"41.96|-84.21"
"0024/0048",-84.21,42.04,"42.04|-84.21"
"0024/0048",-84.21,42.12,"42.12|-84.21"
"0024/0048",-84.21,42.21,"42.21|-84.21"
"0024/0048",-84.21,42.29,"42.29|-84.21"
"0024/0048",-84.21,42.38,"42.38|-84.21"
"0024/0048",-84.21,42.46,"42.46|-84.21"
"0024/0048",-84.21,42.54,"42.54|-84.21"
"0024/0048",-84.21,42.62,"42.62|-84.21"
"0024/0048",-84.21,42.71,"42.71|-84.21"
"0024/0048",-84.21,42.79,"42.79|-84.21"
"0026/0048",-84.29,39.38,"39.38|-84.29"
"0026/0048",-84.29,39.46,"39.46|-84.29"
"0026/0048",-84.29,39.54,"39.54|-84.29"
"0026/0048",-84.29,39.62,"39.62|-84.29"
"0026/0048",-84.29,39.71,"39.71|-84.29"
"0026/0048",-84.29,39.79,"39.79|-84.29"
"0026/0048",-84.29,39.88,"39.88|-84.29"
"0026/0048",-84.29,39.96,"39.96|-84.29"
"0025/0048",-84.29,40.04,"40.04|-84.29"
"0025/0048",-84.29,40.12,"40.12|-84.29"
"0025/0048",-84.29,40.21,"40.21|-84.29"
"0025/0048",-84.29,40.29,"40.29|-84.29"
"0025/0048",-84.29,40.38,"40.38|-84.29"
"0025/0048",-84.29,40.46,"40.46|-84.29"
"0025/0048",-84.29,40.54,"40.54|-84.29"
"0025/0048",-84.29,40.62,"40.62|-84.29"
"0025/0048",-84.29,40.71,"40.71|-84.29"
"0025/0048",-84.29,40.79,"40.79|-84.29"
"0025/0048",-84.29,40.88,"40.88|-84.29"
"0025/0048",-84.29,40.96,"40.96|-84.29"
"0025/0048",-84.29,41.04,"41.04|-84.29"
"0025/0048",-84.29,41.12,"41.12|-84.29"
"0025/0048",-84.29,41.21,"41.21|-84.29"
"0025/0048",-84.29,41.29,"41.29|-84.29"
"0025/0048",-84.29,41.38,"41.38|-84.29"
"0025/0048",-84.29,41.46,"41.46|-84.29"
"0025/0048",-84.29,41.54,"41.54|-84.29"
"0025/0048",-84.29,41.62,"41.62|-84.29"
"0025/0048",-84.29,41.71,"41.71|-84.29"
"0025/0048",-84.29,41.79,"41.79|-84.29"
"0025/0048",-84.29,41.88,"41.88|-84.29"
"0025/0048",-84.29,41.96,"41.96|-84.29"
"0024/0048",-84.29,42.04,"42.04|-84.29"
"0024/0048",-84.29,42.12,"42.12|-84.29"
"0024/0048",-84.29,42.21,"42.21|-84.29"
"0024/0048",-84.29,42.29,"42.29|-84.29"
"0024/0048",-84.29,42.38,"42.38|-84.29"
"0024/0048",-84.29,42.46,"42.46|-84.29"
"0024/0048",-84.29,42.54,"42.54|-84.29"
"0024/0048",-84.29,42.62,"42.62|-84.29"
"0024/0048",-84.29,42.71,"42.71|-84.29"
"0024/0048",-84.29,42.79,"42.79|-84.29"
"0026/0048",-84.38,39.38,"39.38|-84.38"
"0026/0048",-84.38,39.46,"39.46|-84.38"
"0026/0048",-84.38,39.54,"39.54|-84.38"
"0026/0048",-84.38,39.62,"39.62|-84.38"
"0026/0048",-84.38,39.71,"39.71|-84.38"
"0026/0048",-84.38,39.79,"39.79|-84.38"
"0026/0048",-84.38,39.88,"39.88|-84.38"
"0026/0048",-84.38,39.96,"39.96|-84.38"
"0025/0048",-84.38,40.04,"40.04|-84.38"
"0025/0048",-84.38,40.12,"40.12|-84.38"
"0025/0048",-84.38,40.21,"40.21|-84.38"
"0025/0048",-84.38,40.29,"40.29|-84.38"
"0025/0048",-84.38,40.38,"40.38|-84.38"
"0025/0048",-84.38,40.46,"40.46|-84.38"
"0025/0048",-84.38,40.54,"40.54|-84.38"
"0025/0048",-84.38,40.62,"40.62|-84.38"
"0025/0048",-84.38,40.71,"40.71|-84.38"
"0025/0048",-84.38,40.79,"40.79|-84.38"
"0025/0048",-84.38,40.88,"40.88|-84.38"
"0025/0048",-84.38,40.96,"40.96|-84.38"
"0025/0048",-84.38,41.04,"41.04|-84.38"
"0025/0048",-84.38,41.12,"41.12|-84.38"
"0025/0048",-84.38,41.46,"41.46|-84.38"
"0025/0048",-84.38,41.54,"41.54|-84.38"
"0025/0048",-84.38,41.62,"41.62|-84.38"
"0025/0048",-84.38,41.71,"41.71|-84.38"
"0025/0048",-84.38,41.79,"41.79|-84.38"
"0025/0048",-84.38,41.88,"41.88|-84.38"
"0025/0048",-84.38,41.96,"41.96|-84.38"
"0024/0048",-84.38,42.04,"42.04|-84.38"
"0024/0048",-84.38,42.12,"42.12|-84.38"
"0024/0048",-84.38,42.21,"42.21|-84.38"
"0024/0048",-84.38,42.29,"42.29|-84.38"
"0024/0048",-84.38,42.38,"42.38|-84.38"
"0024/0048",-84.38,42.46,"42.46|-84.38"
"0024/0048",-84.38,42.54,"42.54|-84.38"
"0024/0048",-84.38,42.62,"42.62|-84.38"
"0024/0048",-84.38,42.71,"42.71|-84.38"
"0026/0048",-84.46,39.38,"39.38|-84.46"
"0026/0048",-84.46,39.46,"39.46|-84.46"
"0026/0048",-84.46,39.54,"39.54|-84.46"
"0026/0048",-84.46,39.62,"39.62|-84.46"
"0026/0048",-84.46,39.71,"39.71|-84.46"
"0026/0048",-84.46,39.79,"39.79|-84.46"
"0026/0048",-84.46,39.88,"39.88|-84.46"
"0026/0048",-84.46,39.96,"39.96|-84.46"
"0025/0048",-84.46,40.04,"40.04|-84.46"
"0025/0048",-84.46,40.12,"40.12|-84.46"
"0025/0048",-84.46,40.21,"40.21|-84.46"
"0025/0048",-84.46,40.29,"40.29|-84.46"
"0025/0048",-84.46,40.38,"40.38|-84.46"
"0025/0048",-84.46,40.46,"40.46|-84.46"
"0025/0048",-84.46,40.54,"40.54|-84.46"
"0025/0048",-84.46,40.62,"40.62|-84.46"
"0025/0048",-84.46,40.71,"40.71|-84.46"
"0025/0048",-84.46,40.79,"40.79|-84.46"
"0025/0048",-84.46,40.88,"40.88|-84.46"
"0025/0048",-84.46,40.96,"40.96|-84.46"
"0025/0048",-84.46,41.04,"41.04|-84.46"
"0025/0048",-84.46,41.12,"41.12|-84.46"
"0025/0048",-84.46,41.21,"41.21|-84.46"
"0025/0048",-84.46,41.46,"41.46|-84.46"
"0025/0048",-84.46,41.54,"41.54|-84.46"
"0025/0048",-84.46,41.62,"41.62|-84.46"
"0025/0048",-84.46,41.71,"41.71|-84.46"
"0025/0048",-84.46,41.79,"41.79|-84.46"
"0025/0048",-84.46,41.88,"41.88|-84.46"
"0025/0048",-84.46,41.96,"41.96|-84.46"
"0024/0048",-84.46,42.04,"42.04|-84.46"
"0024/0048",-84.46,42.12,"42.12|-84.46"
"0024/0048",-84.46,42.21,"42.21|-84.46"
"0024/0048",-84.46,42.29,"42.29|-84.46"
"0024/0048",-84.46,42.38,"42.38|-84.46"
"0024/0048",-84.46,42.46,"42.46|-84.46"
"0024/0048",-84.46,42.54,"42.54|-84.46"
"0024/0048",-84.46,42.62,"42.62|-84.46"
"0024/0048",-84.46,42.71,"42.71|-84.46"
"0026/0048",-84.54,39.38,"39.38|-84.54"
"0026/0048",-84.54,39.46,"39.46|-84.54"
"0026/0048",-84.54,39.54,"39.54|-84.54"
"0026/0048",-84.54,39.62,"39.62|-84.54"
"0026/0048",-84.54,39.71,"39.71|-84.54"
"0026/0048",-84.54,39.79,"39.79|-84.54"
"0026/0048",-84.54,39.88,"39.88|-84.54"
"0026/0048",-84.54,39.96,"39.96|-84.54"
"0025/0048",-84.54,40.04,"40.04|-84.54"
"0025/0048",-84.54,40.12,"40.12|-84.54"
"0025/0048",-84.54,40.21,"40.21|-84.54"
"0025/0048",-84.54,40.29,"40.29|-84.54"
"0025/0048",-84.54,40.38,"40.38|-84.54"
"0025/0048",-84.54,40.46,"40.46|-84.54"
"0025/0048",-84.54,40.54,"40.54|-84.54"
"0025/0048",-84.54,40.62,"40.62|-84.54"
"0025/0048",-84.54,40.71,"40.71|-84.54"
"0025/0048",-84.54,40.79,"40.79|-84.54"
"0025/0048",-84.54,40.88,"40.88|-84.54"
"0025/0048",-84.54,40.96,"40.96|-84.54"
"0025/0048",-84.54,41.04,"41.04|-84.54"
"0025/0048",-84.54,41.12,"41.12|-84.54"
"0025/0048",-84.54,41.29,"41.29|-84.54"
"0025/0048",-84.54,41.38,"41.38|-84.54"
"0025/0048",-84.54,41.46,"41.46|-84.54"
"0025/0048",-84.54,41.54,"41.54|-84.54"
"0025/0048",-84.54,41.62,"41.62|-84.54"
"0025/0048",-84.54,41.71,"41.71|-84.54"
"0025/0048",-84.54,41.79,"41.79|-84.54"
"0025/0048",-84.54,41.88,"41.88|-84.54"
"0025/0048",-84.54,41.96,"41.96|-84.54"
"0024/0048",-84.54,42.04,"42.04|-84.54"
"0024/0048",-84.54,42.12,"42.12|-84.54"
"0024/0048",-84.54,42.21,"42.21|-84.54"
"0024/0048",-84.54,42.29,"42.29|-84.54"
"0024/0048",-84.54,42.38,"42.38|-84.54"
"0024/0048",-84.54,42.46,"42.46|-84.54"
"0024/0048",-84.54,42.54,"42.54|-84.54"
"0024/0048",-84.54,42.62,"42.62|-84.54"
"0026/0048",-84.62,39.29,"39.29|-84.62"
"0026/0048",-84.62,39.38,"39.38|-84.62"
"0026/0048",-84.62,39.46,"39.46|-84.62"
"0026/0048",-84.62,39.54,"39.54|-84.62"
"0026/0048",-84.62,39.62,"39.62|-84.62"
"0026/0048",-84.62,39.71,"39.71|-84.62"
"0026/0048",-84.62,39.79,"39.79|-84.62"
"0026/0048",-84.62,39.88,"39.88|-84.62"
"0026/0048",-84.62,39.96,"39.96|-84.62"
"0025/0048",-84.62,40.04,"40.04|-84.62"
"0025/0048",-84.62,40.12,"40.12|-84.62"
"0025/0048",-84.62,40.21,"40.21|-84.62"
"0025/0048",-84.62,40.29,"40.29|-84.62"
"0025/0048",-84.62,40.38,"40.38|-84.62"
"0025/0048",-84.62,40.46,"40.46|-84.62"
"0025/0048",-84.62,40.54,"40.54|-84.62"
"0025/0048",-84.62,40.62,"40.62|-84.62"
"0025/0048",-84.62,40.71,"40.71|-84.62"
"0025/0048",-84.62,40.79,"40.79|-84.62"
"0025/0048",-84.62,40.88,"40.88|-84.62"
"0025/0048",-84.62,40.96,"40.96|-84.62"
"0025/0048",-84.62,41.04,"41.04|-84.62"
"0025/0048",-84.62,41.12,"41.12|-84.62"
"0025/0048",-84.62,41.21,"41.21|-84.62"
"0025/0048",-84.62,41.29,"41.29|-84.62"
"0025/0048",-84.62,41.38,"41.38|-84.62"
"0025/0048",-84.62,41.46,"41.46|-84.62"
"0025/0048",-84.62,41.54,"41.54|-84.62"
"0025/0048",-84.62,41.79,"41.79|-84.62"
"0025/0048",-84.62,41.88,"41.88|-84.62"
"0025/0048",-84.62,41.96,"41.96|-84.62"
"0024/0048",-84.62,42.04,"42.04|-84.62"
"0024/0048",-84.62,42.12,"42.12|-84.62"
"0024/0048",-84.62,42.21,"42.21|-84.62"
"0024/0048",-84.62,42.29,"42.29|-84.62"
"0024/0048",-84.62,42.38,"42.38|-84.62"
"0024/0048",-84.62,42.46,"42.46|-84.62"
"0024/0048",-84.62,42.54,"42.54|-84.62"
"0024/0048",-84.62,42.62,"42.62|-84.62"
"0026/0048",-84.71,39.29,"39.29|-84.71"
"0026/0048",-84.71,39.38,"39.38|-84.71"
"0026/0048",-84.71,39.46,"39.46|-84.71"
"0026/0048",-84.71,39.54,"39.54|-84.71"
"0026/0048",-84.71,39.62,"39.62|-84.71"
"0026/0048",-84.71,39.71,"39.71|-84.71"
"0026/0048",-84.71,39.79,"39.79|-84.71"
"0026/0048",-84.71,39.88,"39.88|-84.71"
"0026/0048",-84.71,39.96,"39.96|-84.71"
"0025/0048",-84.71,40.04,"40.04|-84.71"
"0025/0048",-84.71,40.12,"40.12|-84.71"
"0025/0048",-84.71,40.21,"40.21|-84.71"
"0025/0048",-84.71,40.29,"40.29|-84.71"
"0025/0048",-84.71,40.38,"40.38|-84.71"
"0025/0048",-84.71,40.46,"40.46|-84.71"
"0025/0048",-84.71,40.54,"40.54|-84.71"
"0025/0048",-84.71,40.62,"40.62|-84.71"
"0025/0048",-84.71,40.71,"40.71|-84.71"
"0025/0048",-84.71,40.79,"40.79|-84.71"
"0025/0048",-84.71,40.88,"40.88|-84.71"
"0025/0048",-84.71,40.96,"40.96|-84.71"
"0025/0048",-84.71,41.04,"41.04|-84.71"
"0025/0048",-84.71,41.12,"41.12|-84.71"
"0025/0048",-84.71,41.21,"41.21|-84.71"
"0025/0048",-84.71,41.29,"41.29|-84.71"
"0025/0048",-84.71,41.38,"41.38|-84.71"
"0025/0048",-84.71,41.46,"41.46|-84.71"
"0025/0048",-84.71,41.54,"41.54|-84.71"
"0025/0048",-84.71,41.79,"41.79|-84.71"
"0025/0048",-84.71,41.88,"41.88|-84.71"
"0025/0048",-84.71,41.96,"41.96|-84.71"
"0024/0048",-84.71,42.04,"42.04|-84.71"
"0024/0048",-84.71,42.12,"42.12|-84.71"
"0024/0048",-84.71,42.21,"42.21|-84.71"
"0024/0048",-84.71,42.29,"42.29|-84.71"
"0024/0048",-84.71,42.38,"42.38|-84.71"
"0024/0048",-84.71,42.46,"42.46|-84.71"
"0024/0048",-84.71,42.54,"42.54|-84.71"
"0024/0048",-84.71,42.62,"42.62|-84.71"
"0024/0048",-84.71,42.71,"42.71|-84.71"
"0026/0048",-84.79,39.29,"39.29|-84.79"
"0026/0048",-84.79,39.38,"39.38|-84.79"
"0026/0048",-84.79,39.46,"39.46|-84.79"
"0026/0048",-84.79,39.54,"39.54|-84.79"
"0026/0048",-84.79,39.62,"39.62|-84.79"
"0026/0048",-84.79,39.71,"39.71|-84.79"
"0026/0048",-84.79,39.79,"39.79|-84.79"
"0026/0048",-84.79,39.88,"39.88|-84.79"
"0026/0048",-84.79,39.96,"39.96|-84.79"
"0025/0048",-84.79,40.04,"40.04|-84.79"
"0025/0048",-84.79,40.12,"40.12|-84.79"
"0025/0048",-84.79,40.21,"40.21|-84.79"
"0025/0048",-84.79,40.29,"40.29|-84.79"
"0025/0048",-84.79,40.38,"40.38|-84.79"
"0025/0048",-84.79,40.46,"40.46|-84.79"
"0025/0048",-84.79,40.54,"40.54|-84.79"
"0025/0048",-84.79,40.62,"40.62|-84.79"
"0025/0048",-84.79,40.71,"40.71|-84.79"
"0025/0048",-84.79,40.79,"40.79|-84.79"
"0025/0048",-84.79,40.88,"40.88|-84.79"
"0025/0048",-84.79,40.96,"40.96|-84.79"
"0025/0048",-84.79,41.04,"41.04|-84.79"
"0025/0048",-84.79,41.12,"41.12|-84.79"
"0025/0048",-84.79,41.21,"41.21|-84.79"
"0025/0048",-84.79,41.29,"41.29|-84.79"
"0025/0048",-84.79,41.38,"41.38|-84.79"
"0025/0048",-84.79,41.46,"41.46|-84.79"
"0025/0048",-84.79,41.54,"41.54|-84.79"
"0025/0048",-84.79,41.62,"41.62|-84.79"
"0025/0048",-84.79,41.71,"41.71|-84.79"
"0025/0048",-84.79,41.79,"41.79|-84.79"
"0025/0048",-84.79,41.88,"41.88|-84.79"
"0025/0048",-84.79,41.96,"41.96|-84.79"
"0024/0048",-84.79,42.04,"42.04|-84.79"
"0024/0048",-84.79,42.12,"42.12|-84.79"
"0024/0048",-84.79,42.21,"42.21|-84.79"
"0024/0048",-84.79,42.29,"42.29|-84.79"
"0024/0048",-84.79,42.38,"42.38|-84.79"
"0024/0048",-84.79,42.46,"42.46|-84.79"
"0024/0048",-84.79,42.54,"42.54|-84.79"
"0024/0048",-84.79,42.62,"42.62|-84.79"
"0024/0048",-84.79,42.71,"42.71|-84.79"
"0024/0048",-84.79,42.79,"42.79|-84.79"
"0026/0048",-84.88,39.38,"39.38|-84.88"
"0026/0048",-84.88,39.46,"39.46|-84.88"
"0026/0048",-84.88,39.54,"39.54|-84.88"
"0026/0048",-84.88,39.62,"39.62|-84.88"
"0026/0048",-84.88,39.71,"39.71|-84.88"
"0026/0048",-84.88,39.79,"39.79|-84.88"
"0026/0048",-84.88,39.88,"39.88|-84.88"
"0026/0048",-84.88,39.96,"39.96|-84.88"
"0025/0048",-84.88,40.04,"40.04|-84.88"
"0025/0048",-84.88,40.12,"40.12|-84.88"
"0025/0048",-84.88,40.21,"40.21|-84.88"
"0025/0048",-84.88,40.29,"40.29|-84.88"
"0025/0048",-84.88,40.38,"40.38|-84.88"
"0025/0048",-84.88,40.46,"40.46|-84.88"
"0025/0048",-84.88,40.54,"40.54|-84.88"
"0025/0048",-84.88,40.62,"40.62|-84.88"
"0025/0048",-84.88,40.71,"40.71|-84.88"
"0025/0048",-84.88,40.79,"40.79|-84.88"
"0025/0048",-84.88,40.88,"40.88|-84.88"
"0025/0048",-84.88,40.96,"40.96|-84.88"
"0025/0048",-84.88,41.04,"41.04|-84.88"
"0025/0048",-84.88,41.12,"41.12|-84.88"
"0025/0048",-84.88,41.21,"41.21|-84.88"
"0025/0048",-84.88,41.29,"41.29|-84.88"
"0025/0048",-84.88,41.38,"41.38|-84.88"
"0025/0048",-84.88,41.46,"41.46|-84.88"
"0025/0048",-84.88,41.54,"41.54|-84.88"
"0025/0048",-84.88,41.62,"41.62|-84.88"
"0025/0048",-84.88,41.71,"41.71|-84.88"
"0025/0048",-84.88,41.79,"41.79|-84.88"
"0025/0048",-84.88,41.88,"41.88|-84.88"
"0025/0048",-84.88,41.96,"41.96|-84.88"
"0024/0048",-84.88,42.04,"42.04|-84.88"
"0024/0048",-84.88,42.12,"42.12|-84.88"
"0024/0048",-84.88,42.21,"42.21|-84.88"
"0024/0048",-84.88,42.29,"42.29|-84.88"
"0024/0048",-84.88,42.38,"42.38|-84.88"
"0024/0048",-84.88,42.46,"42.46|-84.88"
"0024/0048",-84.88,42.54,"42.54|-84.88"
"0024/0048",-84.88,42.62,"42.62|-84.88"
"0024/0048",-84.88,42.71,"42.71|-84.88"
"0024/0048",-84.88,42.79,"42.79|-84.88"
"0026/0048",-84.96,39.29,"39.29|-84.96"
"0026/0048",-84.96,39.38,"39.38|-84.96"
"0026/0048",-84.96,39.46,"39.46|-84.96"
"0026/0048",-84.96,39.54,"39.54|-84.96"
"0026/0048",-84.96,39.62,"39.62|-84.96"
"0026/0048",-84.96,39.71,"39.71|-84.96"
"0026/0048",-84.96,39.79,"39.79|-84.96"
"0026/0048",-84.96,39.88,"39.88|-84.96"
"0026/0048",-84.96,39.96,"39.96|-84.96"
"0025/0048",-84.96,40.04,"40.04|-84.96"
"0025/0048",-84.96,40.12,"40.12|-84.96"
"0025/0048",-84.96,40.21,"40.21|-84.96"
"0025/0048",-84.96,40.29,"40.29|-84.96"
"0025/0048",-84.96,40.38,"40.38|-84.96"
"0025/0048",-84.96,40.46,"40.46|-84.96"
"0025/0048",-84.96,40.54,"40.54|-84.96"
"0025/0048",-84.96,40.62,"40.62|-84.96"
"0025/0048",-84.96,40.71,"40.71|-84.96"
"0025/0048",-84.96,40.79,"40.79|-84.96"
"0025/0048",-84.96,40.88,"40.88|-84.96"
"0025/0048",-84.96,40.96,"40.96|-84.96"
"0025/0048",-84.96,41.04,"41.04|-84.96"
"0025/0048",-84.96,41.12,"41.12|-84.96"
"0025/0048",-84.96,41.29,"41.29|-84.96"
"0025/0048",-84.96,41.38,"41.38|-84.96"
"0025/0048",-84.96,41.46,"41.46|-84.96"
"0025/0048",-84.96,41.54,"41.54|-84.96"
"0025/0048",-84.96,41.62,"41.62|-84.96"
"0025/0048",-84.96,41.71,"41.71|-84.96"
"0025/0048",-84.96,41.79,"41.79|-84.96"
"0025/0048",-84.96,41.88,"41.88|-84.96"
"0025/0048",-84.96,41.96,"41.96|-84.96"
"0024/0048",-84.96,42.04,"42.04|-84.96"
"0024/0048",-84.96,42.12,"42.12|-84.96"
"0024/0048",-84.96,42.21,"42.21|-84.96"
"0024/0048",-84.96,42.29,"42.29|-84.96"
"0024/0048",-84.96,42.38,"42.38|-84.96"
"0024/0048",-84.96,42.46,"42.46|-84.96"
"0024/0048",-84.96,42.54,"42.54|-84.96"
"0024/0048",-84.96,42.62,"42.62|-84.96"
"0024/0048",-84.96,42.71,"42.71|-84.96"
"0024/0048",-84.96,42.79,"42.79|-84.96"
"0026/0048",-85.04,39.29,"39.29|-85.04"
"0026/0048",-85.04,39.38,"39.38|-85.04"
"0026/0048",-85.04,39.46,"39.46|-85.04"
"0026/0048",-85.04,39.54,"39.54|-85.04"
"0026/0048",-85.04,39.62,"39.62|-85.04"
"0026/0048",-85.04,39.71,"39.71|-85.04"
"0026/0048",-85.04,39.79,"39.79|-85.04"
"0026/0048",-85.04,39.88,"39.88|-85.04"
"0026/0048",-85.04,39.96,"39.96|-85.04"
"0025/0048",-85.04,40.04,"40.04|-85.04"
"0025/0048",-85.04,40.12,"40.12|-85.04"
"0025/0048",-85.04,40.21,"40.21|-85.04"
"0025/0048",-85.04,40.29,"40.29|-85.04"
"0025/0048",-85.04,40.38,"40.38|-85.04"
"0025/0048",-85.04,40.46,"40.46|-85.04"
"0025/0048",-85.04,40.54,"40.54|-85.04"
"0025/0048",-85.04,40.62,"40.62|-85.04"
"0025/0048",-85.04,40.71,"40.71|-85.04"
"0025/0048",-85.04,40.79,"40.79|-85.04"
"0025/0048",-85.04,40.88,"40.88|-85.04"
"0025/0048",-85.04,40.96,"40.96|-85.04"
"0025/0048",-85.04,41.04,"41.04|-85.04"
"0025/0048",-85.04,41.12,"41.12|-85.04"
"0025/0048",-85.04,41.21,"41.21|-85.04"
"0025/0048",-85.04,41.29,"41.29|-85.04"
"0025/0048",-85.04,41.38,"41.38|-85.04"
"0025/0048",-85.04,41.46,"41.46|-85.04"
